,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xe7b2e56f1dbe426196c0e068bbcda2c6ab80b66e40c1d34e9ab44af4470d41bc,3673017,1494268455,0x0f6b1ee203f39fa5a5d8ffdbf0fa58079205696d,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,1.0,NULL,0x,0
1,0xa6a1e9abaedf944d6b0339b1ca6b8a3de082b97052d6d9413290a6eeafd85f3d,3673022,1494268527,0x0f6b1ee203f39fa5a5d8ffdbf0fa58079205696d,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,137.86409217000002,NULL,0x,0
2,0x4c127f8902f2071b7c56015f67be17565e9e57eaf663718ebd04866c2ddd0bb3,3673025,1494268565,0x651fdee9d30a6051cd61ee72a273104ff3246f86,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,350.0,NULL,0x,0
3,0xd900f7eb60bb1146f9637a9ec5301311aacf14593545c4b4296fb05579bc31c6,3673028,1494268609,0x651fdee9d30a6051cd61ee72a273104ff3246f86,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,172.942,NULL,0x,0
4,0x3fab70be5d6c8bf933c1e06810a2176838399a9c42212919cf8293d8bfbcf042,3673260,1494272104,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,493.3834463302901,NULL,0x,0
5,0x3fab70be5d6c8bf933c1e06810a2176838399a9c42212919cf8293d8bfbcf042,3673260,1494272104,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,493.3834463302901,NULL,0x,0
6,0x0f718c06b294f31e72aa55702aed0fa4208e4554aaef80aab16bbc3e2f45c4b4,4253017,1504906148,0xd21d2cee3805e0a6b497d053e8be25ed56aba788,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,80.0,NULL,0x,0
7,0x98a9051f0b12e1c3a9bc4dc7af20ec5c0dffe8d0f172eec711654f18134b077a,4289406,1505783914,0xeed16856d551569d134530ee3967ec79995e2051,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,15.879008550000002,NULL,0x,0
8,0xb092ba62ca4618c7a159947482d0cfd975a33b9aa26f1682c6188feb3d236184,4289432,1505784604,0xd3273eba07248020bf98a8b560ec1576a612102f,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,15.25574375,NULL,0x,0
9,0xf4e31abe0b3ccca5e058ea5364636be5b3ad48552a776928f2df78c4cd8e747c,4289446,1505784890,0xd3273eba07248020bf98a8b560ec1576a612102f,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,15.90457485,NULL,0x,0
10,0x46db3c461fc3cb6d6d3b36ccfcbc6f335ef6a7d1c5da021082b05334ee8c971a,4311231,1506367981,0x80e0d546320334453fb94268384c12f13f3d276e,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,70.0,NULL,0x,0
12,0x147bea6764c831b8933c55f76137dd2c6972f4f7c59baef82e589a2803370fea,4681652,1512507514,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,0xe13a4fe4fa4248ab46f2332c417418f7cde71e8c,21.0,NULL,0x,0
13,0x7587a31b7e9718cd0b65bbed90ecd10b3d7818a246535fc953f8ad2580669cc4,4856391,1515127718,0x651fdee9d30a6051cd61ee72a273104ff3246f86,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,2.75,NULL,0x,0
14,0x68931485abf941fd956e8dae3d7c9d835d52e618ce92c75e7754c1d64f3f3f75,4908987,1515963316,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,0xe13a4fe4fa4248ab46f2332c417418f7cde71e8c,40.0,NULL,0x,0
15,0xe238729552c1c76c439e32d50cd935ebfa1d04a60c27ae97b300c65db1f2e97d,4909132,1515965467,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,0xe13a4fe4fa4248ab46f2332c417418f7cde71e8c,25.0,NULL,0x,0
16,0x3e049106a7a191bc6b18cfa6ed63598f4c590020d3e479ca5fad1138971393e7,4925669,1516224856,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,14.39,NULL,0x,0
17,0x0fc6f85375394c87bcea75bdd001e989c22f8a8d127183d6c3c09a5559b50501,4932999,1516338322,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,20.99,NULL,0x,0
18,0xebfec42851ff4f528cce53274e6d74fcf40360e636f963826079aeea0061d170,4939139,1516431372,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x64e78ae3e79d3369432355d0c1bdaafc4983edbe,21.99,NULL,0x,0
